Local time in Shengzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,11.8,756.0,765.5,0.8,50,Wind blowing from the east-southeast,1,,9,,Cloud development not observed or not observable. ,,,5.9,21.4,,,2500 or more  or no clouds.,,,20.0,1.7,No precipitation,12,,,,
07.04.2020 20:00,15.6,755.2,764.8,1.1,26,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,21.4,,,2500 or more  or no clouds.,,,20.0,-3.8,No precipitation,12,,,,
07.04.2020 17:00,19.4,754.1,763.6,-0.3,33,Wind blowing from the north-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,21.4,,,2500 or more  or no clouds.,,,16.0,2.7,No precipitation,12,,,,
07.04.2020 14:00,20.4,754.4,763.9,-1.8,33,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,20.8,,,2500 or more  or no clouds.,,,16.0,3.6,No precipitation,12,,,,
07.04.2020 11:00,16.8,756.2,765.7,-0.2,48,Wind blowing from the south,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,16.8,,,2500 or more  or no clouds.,,,9.0,5.7,No precipitation,12,,,,
07.04.2020 08:00,9.2,756.4,766.1,1.2,82,Wind blowing from the south-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,15.4,,,2500 or more  or no clouds.,,,8.0,6.3,No precipitation,12,,,,
07.04.2020 05:00,6.1,755.2,764.9,-0.1,94,Wind blowing from the south-west,1,,7,,Mist. ,,,6.1,15.4,,,2500 or more  or no clouds.,,,5.0,5.2,No precipitation,12,,,,
07.04.2020 02:00,8.2,755.3,764.9,-1.0,90,Wind blowing from the north-northeast,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,15.4,,,2500 or more  or no clouds.,,,6.0,6.7,No precipitation,12,,,,
06.04.2020 23:00,10.6,756.3,766.0,0.0,74,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,8.1,15.4,,,2500 or more  or no clouds.,,,8.0,6.2,No precipitation,12,,,,
06.04.2020 20:00,12.6,756.3,766.0,1.1,62,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,15.4,,,2500 or more  or no clouds.,,,12.0,5.5,No precipitation,12,,,,
06.04.2020 17:00,14.8,755.2,764.8,-1.2,46,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,15.4,,,2500 or more  or no clouds.,,,18.0,3.3,No precipitation,12,,,,
06.04.2020 14:00,15.0,756.4,766.0,-1.8,31,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,16.9,,,2500 or more  or no clouds.,,,19.0,-2.0,No precipitation,12,,,,
06.04.2020 11:00,11.6,758.2,767.8,-0.2,62,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,16.9,,,2500 or more  or no clouds.,,,10.0,4.6,No precipitation,12,,,,
06.04.2020 08:00,9.4,758.4,768.1,0.7,76,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,16.9,,,2500 or more  or no clouds.,,,12.0,5.4,No precipitation,12,,,,
06.04.2020 05:00,8.4,757.7,767.4,-0.8,82,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,,,8.2,16.9,,,2500 or more  or no clouds.,,,15.0,5.5,No precipitation,12,,,,
06.04.2020 02:00,8.2,758.5,768.1,-1.1,81,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,16.9,,,2500 or more  or no clouds.,,,15.0,5.1,No precipitation,12,,,,
05.04.2020 23:00,10.4,759.6,769.3,0.2,65,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,,,7.7,16.9,,,2500 or more  or no clouds.,,,18.0,4.1,No precipitation,12,,,,
05.04.2020 20:00,12.0,759.4,769.0,0.9,53,Wind blowing from the north-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,16.9,,,2500 or more  or no clouds.,,,17.0,2.7,No precipitation,12,,,,
05.04.2020 17:00,14.5,758.5,768.2,-0.3,46,Wind blowing from the north-northeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,16.9,,,2500 or more  or no clouds.,,,20.0,3.0,No precipitation,12,,,,
05.04.2020 14:00,16.3,758.8,768.4,-2.2,39,Wind blowing from the north-northeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,16.9,,,2500 or more  or no clouds.,,,20.0,2.3,No precipitation,12,,,,
05.04.2020 11:00,12.8,761.0,770.7,,53,Wind blowing from the north,3,,9,, ,,,7.7,16.9,,,,,,20.0,3.5,No precipitation,6,,,,
05.04.2020 08:00,10.3,761.4,771.1,1.6,76,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,16.9,,,2500 or more  or no clouds.,,,10.0,6.3,No precipitation,12,,,,
05.04.2020 05:00,8.8,759.8,769.4,-0.2,93,Wind blowing from the north,3,,6,,Mist. ,,,7.7,16.9,,,2500 or more  or no clouds.,,,2.6,7.7,No precipitation,12,,,,
05.04.2020 02:00,8.2,760.0,769.6,-0.3,94,Wind blowing from the north-west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,16.9,,,2500 or more  or no clouds.,,,1.7,7.3,No precipitation,12,,,,
04.04.2020 23:00,10.0,760.3,770.0,0.5,86,Wind blowing from the south-southeast,1,,4,,Mist. ,,,9.3,16.9,,,2500 or more  or no clouds.,,,3.1,7.8,No precipitation,12,,,,
04.04.2020 20:00,13.1,759.8,769.5,1.4,69,Wind blowing from the east-northeast,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,16.9,,,2500 or more  or no clouds.,,,5.0,7.5,No precipitation,12,,,,
04.04.2020 17:00,16.9,758.4,768.0,-0.4,48,Wind blowing from the north,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,16.9,,,2500 or more  or no clouds.,,,6.0,5.8,No precipitation,12,,,,
04.04.2020 14:00,14.5,758.8,768.4,-1.2,54,Wind blowing from the south,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,14.8,,,2500 or more  or no clouds.,,,8.0,5.3,No precipitation,12,,,,
04.04.2020 11:00,12.0,760.0,769.7,0.6,70,Wind blowing from the west-southwest,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,13.5,,,2500 or more  or no clouds.,,,8.0,6.7,No precipitation,12,,,,
04.04.2020 08:00,10.1,759.4,769.0,1.2,80,Wind blowing from the north,0,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,13.5,,,2500 or more  or no clouds.,,,8.0,6.8,No precipitation,12,,,,
04.04.2020 05:00,9.5,758.2,767.9,0.8,79,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,,,9.4,13.5,,,2500 or more  or no clouds.,,,8.0,6.0,No precipitation,12,,,,
04.04.2020 02:00,10.1,757.4,767.1,-0.8,75,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,13.5,,,2500 or more  or no clouds.,,,10.0,5.9,No precipitation,12,,,,
03.04.2020 23:00,11.0,758.2,767.9,0.3,72,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,,,11.0,13.5,,,2500 or more  or no clouds.,,,10.0,6.0,No precipitation,12,,,,
03.04.2020 20:00,12.1,757.9,767.5,0.6,67,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,13.5,,,2500 or more  or no clouds.,,,10.0,6.2,No precipitation,12,,,,
03.04.2020 17:00,13.2,757.3,766.9,0.1,74,Wind blowing from the north,3,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,15.2,,,2500 or more  or no clouds.,,,6.0,8.7,No precipitation,12,,,,
03.04.2020 14:00,13.4,757.2,766.8,-1.3,70,Wind blowing from the south-east,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,,,,2500 or more  or no clouds.,,,6.0,8.0,No precipitation,12,,,,
03.04.2020 11:00,12.7,758.5,768.1,0.6,74,Wind blowing from the west-southwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,,,,2500 or more  or no clouds.,,,6.0,8.2,No precipitation,12,,,,
03.04.2020 08:00,11.5,757.9,767.5,0.3,81,Wind blowing from the south-west,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,17.1,,,2500 or more  or no clouds.,,,6.0,8.4,No precipitation,12,,,,
03.04.2020 05:00,11.2,757.6,767.2,0.0,84,Wind blowing from the west-southwest,1,,6,,Mist. ,,,7.5,17.1,,,2500 or more  or no clouds.,,,6.0,8.6,No precipitation,12,,,,
03.04.2020 02:00,12.1,757.6,767.2,-0.8,77,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,17.1,,,2500 or more  or no clouds.,,,8.0,8.2,No precipitation,12,,,,
02.04.2020 23:00,12.7,758.4,768.0,1.0,77,Wind blowing from the north-northeast,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,7.5,17.1,,,2500 or more  or no clouds.,,,9.0,8.8,No precipitation,12,,,,
02.04.2020 20:00,13.5,757.4,767.1,0.7,70,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,17.1,,,2500 or more  or no clouds.,,,14.0,8.1,No precipitation,12,,,,
02.04.2020 17:00,15.3,756.7,766.3,-0.2,47,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,17.1,,,2500 or more  or no clouds.,,,11.0,4.1,No precipitation,12,,,,
02.04.2020 14:00,17.0,756.9,766.5,-2.0,40,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,17.1,,,2500 or more  or no clouds.,,,11.0,3.3,No precipitation,12,,,,
02.04.2020 11:00,14.4,758.9,768.6,,52,Wind blowing from the east,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,16.3,,,,,,6.0,4.7,No precipitation,6,,,,
02.04.2020 08:00,9.3,759.3,769.0,1.1,92,Wind blowing from the north,0,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,16.3,,,2500 or more  or no clouds.,,,2.1,8.1,No precipitation,12,,,,
02.04.2020 05:00,7.5,758.2,767.9,0.1,97,Wind blowing from the south,1,,5,,Mist. ,,,7.5,16.3,,,2500 or more  or no clouds.,,,1.3,7.1,No precipitation,12,,,,
02.04.2020 02:00,8.5,758.1,767.8,0.1,95,Wind blowing from the west,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,16.3,,,2500 or more  or no clouds.,,,2.7,7.7,No precipitation,12,,,,
01.04.2020 23:00,9.9,758.0,767.7,0.0,89,Wind blowing from the west-southwest,2,,8,,Mist. ,,,9.4,16.3,,,2500 or more  or no clouds.,,,4.0,8.2,No precipitation,12,,,,
01.04.2020 20:00,12.9,758.0,767.7,1.7,64,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,16.3,,,2500 or more  or no clouds.,,,9.0,6.3,No precipitation,12,,,,
01.04.2020 17:00,15.8,756.3,765.9,-0.7,52,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,16.3,,,2500 or more  or no clouds.,,,12.0,6.0,No precipitation,12,,,,
01.04.2020 14:00,15.0,757.0,766.6,-1.3,62,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,15.2,,,2500 or more  or no clouds.,,,8.0,7.8,No precipitation,12,,,,
01.04.2020 11:00,13.2,758.3,768.0,0.6,67,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,14.4,,,2500 or more  or no clouds.,,,14.0,7.2,0.2,12,,,,
01.04.2020 08:00,10.8,757.7,767.4,2.0,86,Wind blowing from the north,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,11.6,,,2500 or more  or no clouds.,,,4.4,8.6,0.7,12,,,,
01.04.2020 05:00,9.8,755.7,765.4,1.3,94,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,,,9.4,11.6,,,2500 or more  or no clouds.,,,7.0,8.9,0.9,12,,,,
01.04.2020 02:00,10.0,754.4,764.0,0.7,97,Wind blowing from the north,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,11.6,,,2500 or more  or no clouds.,,,6.0,9.5,3.0,12,,,,
31.03.2020 23:00,10.8,753.7,763.3,0.9,99,Wind blowing from the west-northwest,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,,,,11.6,,,2500 or more  or no clouds.,,,0.7,10.6,5.0,12,,,,
31.03.2020 20:00,10.9,752.8,762.4,1.2,98,Wind blowing from the north-west,1,,2,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,9.2,11.6,,,600-1000,,,0.9,10.6,4.0,12,,,,
31.03.2020 17:00,11.4,751.6,761.2,-0.3,97,Wind blowing from the south-southwest,0,,2,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,11.6,,,600-1000,,,1.4,10.9,4.0,12,,,,
31.03.2020 14:00,11.3,751.9,761.5,-1.9,94,Wind blowing from the north-east,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,11.6,,,2500 or more  or no clouds.,,,2.2,10.4,2.0,12,,,,
31.03.2020 11:00,11.4,753.8,763.5,-0.7,87,Wind blowing from the east-northeast,1,,2,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,11.4,,,600-1000,,,4.0,9.3,No precipitation,12,,,,
31.03.2020 08:00,10.0,754.5,764.2,,95,Calm  no wind,0,,,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.3,,,600-1000,,,2.7,9.2,No precipitation,6,,,,
31.03.2020 05:00,9.4,754.6,764.3,-0.4,97,Wind blowing from the north-west,0,,5,,Mist. ,,,,10.3,,,2500 or more  or no clouds.,,,1.5,8.9,No precipitation,12,,,,
31.03.2020 02:00,9.4,755.0,764.7,-0.6,97,Wind blowing from the west-southwest,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.3,,,2500 or more  or no clouds.,,,1.3,8.9,0.1,12,,,,
30.03.2020 23:00,9.3,755.6,765.3,0.4,95,Wind blowing from the north-northeast,1,,5,,Rain (not freezing) not falling as shower(s). ,,,,10.3,,,2500 or more  or no clouds.,,,2.5,8.5,0.2,12,,,,
30.03.2020 20:00,9.2,755.2,765.0,0.5,95,Wind blowing from the north,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,10.3,,,600-1000,,,2.9,8.4,1.0,12,,,,
30.03.2020 17:00,9.7,754.7,764.5,0.0,92,Wind blowing from the north,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,6.9,10.3,,,600-1000,,,7.0,8.5,1.0,12,,,,
30.03.2020 14:00,10.0,754.7,764.5,-1.1,91,Wind blowing from the west-northwest,0,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,6.6,10.3,,,600-1000,,,2.8,8.6,4.0,12,,,,
30.03.2020 11:00,9.0,755.8,765.5,0.0,95,Wind blowing from the south-southwest,1,,2,100%.,Rain (not freezing) not falling as shower(s). ,Drizzle.,Fog or ice fog or thick haze.,6.6,9.0,,,600-1000,,,10.0,8.2,9.0,12,,,,
30.03.2020 08:00,7.7,755.8,765.5,0.9,98,Wind blowing from the west-southwest,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,6.6,8.3,,,600-1000,,,1.0,7.4,10.0,12,,,,
30.03.2020 05:00,7.3,754.9,764.6,0.6,98,Wind blowing from the north-northwest,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,,,,,2500 or more  or no clouds.,,,1.4,7.0,11.0,12,,,,
30.03.2020 02:00,7.0,754.3,764.0,-1.0,98,Wind blowing from the west,0,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,1.0,6.7,16.0,12,,,,
29.03.2020 23:00,7.1,755.3,765.1,0.3,98,Wind blowing from the north-northwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,5.6,8.3,,,2500 or more  or no clouds.,,,1.3,6.8,16.0,12,,,,
29.03.2020 20:00,6.9,755.0,764.8,0.3,96,Wind blowing from the north-northeast,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,5.6,8.3,,,600-1000,,,3.7,6.3,15.0,12,,,,
29.03.2020 17:00,7.1,754.7,764.5,-0.8,95,Wind blowing from the north,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,5.6,8.3,,,600-1000,,,2.6,6.4,14.0,12,,,,
29.03.2020 14:00,7.0,755.5,765.4,-2.7,96,Wind blowing from the south-west,1,,5,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,8.3,,,600-1000,,,1.2,6.4,6.0,12,,,,
29.03.2020 11:00,8.1,758.2,768.1,,73,Wind blowing from the south-southwest,1,,5,100%., ,,,5.6,8.3,,,2500 or more  or no clouds.,,,11.0,3.4,No precipitation,6,,,,
29.03.2020 08:00,7.4,758.4,768.2,0.7,77,Wind blowing from the north-northeast,1,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,7.5,,,600-1000,,,5.0,3.5,No precipitation,12,,,,
29.03.2020 05:00,5.7,757.7,767.5,-0.7,92,Wind blowing from the west-southwest,1,,7,,Mist. ,,,,6.6,,,2500 or more  or no clouds.,,,4.6,4.5,No precipitation,12,,,,
29.03.2020 02:00,5.9,758.4,768.2,-0.7,92,Wind blowing from the west,1,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,6.6,,,2500 or more  or no clouds.,,,3.6,4.7,0.1,12,,,,
28.03.2020 23:00,6.0,759.1,768.9,-0.3,88,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,,,,,,,2500 or more  or no clouds.,,,8.0,4.2,0.2,12,,,,
28.03.2020 20:00,6.1,759.4,769.3,0.9,84,Wind blowing from the west-southwest,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,600-1000,,,15.0,3.6,3.0,12,,,,
28.03.2020 17:00,6.2,758.5,768.4,-0.3,85,Wind blowing from the north,4,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,,,,600-1000,,,20.0,3.9,6.0,12,,,,
28.03.2020 14:00,5.9,758.8,768.6,-0.9,91,Wind blowing from the north,3,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,,,,600-1000,,,4.5,4.5,11.0,12,,,,
28.03.2020 11:00,5.9,759.7,769.5,0.5,89,Wind blowing from the north,4,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,4.9,,,,600-1000,,,16.0,4.2,16.0,12,,,,
28.03.2020 08:00,5.7,759.2,769.0,2.1,95,Wind blowing from the north,3,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,14.4,,,600-1000,,,9.0,5.0,24.0,12,,,,
28.03.2020 05:00,5.2,757.1,766.9,-0.4,93,Wind blowing from the north,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,5.2,18.3,,,2500 or more  or no clouds.,,,8.0,4.2,22.0,12,,,,
28.03.2020 02:00,6.6,757.5,767.2,-0.7,94,Wind blowing from the north-northeast,3,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,18.5,,,2500 or more  or no clouds.,,,4.7,5.7,18.0,12,,,,
27.03.2020 23:00,8.0,758.2,767.9,0.4,88,Wind blowing from the north-northeast,4,,11,,Rain  not freezing  intermittent  moderate at time of observation. ,,,8.0,18.7,,,2500 or more  or no clouds.,,,5.0,6.1,13.0,12,,,,
27.03.2020 20:00,9.4,757.8,767.5,1.7,92,Wind blowing from the north,4,,15,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,19.2,,,600-1000,,,4.6,8.2,2.0,12,,,,
27.03.2020 17:00,10.5,756.1,765.6,,88,Wind blowing from the north-northeast,6,,15,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,26.4,,,600-1000,,,8.0,8.6,No precipitation,6,,,,
27.03.2020 14:00,12.4,756.2,765.7,,87,Wind blowing from the north-northeast,5,,15,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,27.4,,,600-1000,,,20.0,10.3,Trace of precipitation,6,,,,
27.03.2020 11:00,12.6,756.5,766.0,2.2,87,Wind blowing from the north,4,,15,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,27.4,,,600-1000,,,20.0,10.5,1.0,12,,,,
27.03.2020 08:00,14.3,754.3,763.8,,89,Wind blowing from the north,6,,15,100%.,Cloud development not observed or not observable. ,Rain.,Drizzle.,14.3,27.4,,,600-1000,,,15.0,12.5,0.6,6,,,,
27.03.2020 05:00,18.2,751.6,760.8,0.6,98,Wind blowing from the east,1,,13,,Mist. ,,,16.5,27.4,,,2500 or more  or no clouds.,,,3.2,17.9,18.0,12,,,,
27.03.2020 02:00,18.5,751.0,760.3,-0.4,98,Wind blowing from the south-southwest,1,,13,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.5,27.4,,,2500 or more  or no clouds.,,,1.5,18.2,18.0,12,,,,
26.03.2020 23:00,18.7,751.4,760.6,1.6,98,Wind blowing from the west,1,,,,Rain  not freezing  intermittent  moderate at time of observation. ,,,16.5,27.4,,,2500 or more  or no clouds.,,,2.0,18.4,17.0,12,,,,
26.03.2020 20:00,19.0,749.8,759.1,2.4,95,Wind blowing from the south-southwest,2,,13,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.5,27.4,,,2500 or more  or no clouds.,,,5.0,18.2,15.0,12,,,,
26.03.2020 17:00,26.4,747.4,756.7,,56,Wind blowing from the east-southeast,1,,3,100%., ,,,16.5,27.4,,,600-1000,,,17.0,16.9,No precipitation,6,,,,
26.03.2020 14:00,25.5,748.5,757.7,-1.4,65,Wind blowing from the south-southwest,0,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.5,25.5,,,600-1000,,,13.0,18.4,0.2,12,,,,
