Local time in Ganzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 11:00,15.1,755.2,767.7,0.6,84,Wind blowing from the west-southwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,15.5,,,2500 or more  or no clouds.,,,8.0,12.4,6.0,12,,,,
05.04.2020 08:00,12.9,754.6,767.1,1.3,96,Wind blowing from the south,1,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,14.8,,,2500 or more  or no clouds.,,,4.5,12.3,6.0,12,,,,
05.04.2020 05:00,12.6,753.3,765.8,-1.1,97,Wind blowing from the west,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.3,14.8,,,2500 or more  or no clouds.,,,3.0,12.1,4.0,12,,,,
05.04.2020 02:00,13.2,754.4,766.9,-1.1,94,Wind blowing from the south-southwest,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,14.8,,,2500 or more  or no clouds.,,,5.0,12.3,No precipitation,12,,,,
04.04.2020 23:00,13.6,755.5,768.1,0.8,91,Wind blowing from the south-west,1,,5,,Cloud development not observed or not observable. ,,,11.3,14.8,,,2500 or more  or no clouds.,,,7.0,12.2,No precipitation,12,,,,
04.04.2020 20:00,14.1,754.7,767.3,0.4,83,Wind blowing from the north-northeast,2,,5,,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,14.8,,,2500 or more  or no clouds.,,,10.0,11.3,Trace of precipitation,12,,,,
04.04.2020 17:00,14.5,754.3,766.8,-0.2,81,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,14.8,,,2500 or more  or no clouds.,,,10.0,11.3,5.0,12,,,,
04.04.2020 14:00,14.5,754.5,767.0,-1.3,83,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,14.5,,,2500 or more  or no clouds.,,,11.0,11.7,5.0,12,,,,
04.04.2020 11:00,12.9,755.8,768.4,0.9,88,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,13.6,,,2500 or more  or no clouds.,,,12.0,11.0,5.0,12,,,,
04.04.2020 08:00,11.5,754.9,767.5,1.4,94,Wind blowing from the east-southeast,1,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,13.6,,,2500 or more  or no clouds.,,,12.0,10.6,5.0,12,,,,
04.04.2020 05:00,11.7,753.5,766.1,-0.5,93,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,,,11.6,13.6,,,2500 or more  or no clouds.,,,10.0,10.6,0.2,12,,,,
04.04.2020 02:00,12.3,754.0,766.5,-0.1,97,Wind blowing from the north-west,1,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.6,,,2500 or more  or no clouds.,,,5.0,11.8,1.0,12,,,,
03.04.2020 23:00,13.0,754.1,766.7,1.4,93,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,,,11.6,13.6,,,2500 or more  or no clouds.,,,15.0,11.9,12.0,12,,,,
03.04.2020 20:00,13.2,752.7,765.2,0.3,93,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.6,,,2500 or more  or no clouds.,,,15.0,12.1,19.0,12,,,,
03.04.2020 17:00,13.4,752.4,764.9,0.2,94,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.6,,,2500 or more  or no clouds.,,,17.0,12.5,32.0,12,,,,
03.04.2020 14:00,13.5,752.2,764.8,-2.8,93,Wind blowing from the north-east,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.6,,,2500 or more  or no clouds.,,,9.0,12.4,33.0,12,,,,
03.04.2020 11:00,12.5,755.0,767.6,1.0,97,Wind blowing from the west-southwest,1,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,12.9,,,2500 or more  or no clouds.,,,7.0,12.0,34.0,12,,,,
03.04.2020 08:00,11.9,754.0,766.6,1.5,97,Wind blowing from the north-west,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,12.9,,,2500 or more  or no clouds.,,,8.0,11.4,No precipitation,12,,,,
03.04.2020 05:00,11.7,752.5,765.1,-0.1,97,Wind blowing from the south-southwest,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.4,12.9,,,2500 or more  or no clouds.,,,7.0,11.2,No precipitation,12,,,,
03.04.2020 02:00,11.7,752.6,765.2,-1.4,97,Wind blowing from the north-northeast,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,12.9,,,2500 or more  or no clouds.,,,5.0,11.2,No precipitation,12,,,,
02.04.2020 23:00,11.9,754.0,766.6,1.9,97,Wind blowing from the west,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.3,12.9,,,2500 or more  or no clouds.,,,4.9,11.4,1.0,12,,,,
02.04.2020 20:00,12.5,752.1,764.6,-0.3,97,Wind blowing from the north,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,13.1,,,2500 or more  or no clouds.,,,8.0,12.0,3.0,12,,,,
02.04.2020 17:00,12.4,752.4,765.0,1.4,96,Wind blowing from the north-west,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,14.2,,,2500 or more  or no clouds.,,,6.0,11.8,No precipitation,12,,,,
02.04.2020 14:00,12.4,751.0,763.5,-2.3,96,Wind blowing from the east,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,,,,2500 or more  or no clouds.,,,6.0,11.8,17.0,12,,,,
02.04.2020 11:00,11.8,753.3,765.9,0.5,97,Wind blowing from the north-west,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,,,,2500 or more  or no clouds.,,,6.0,11.3,23.0,12,,,,
02.04.2020 08:00,11.7,752.8,765.3,1.1,97,Wind blowing from the west,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,14.4,,,2500 or more  or no clouds.,,,6.0,11.2,32.0,12,,,,
02.04.2020 05:00,11.4,751.7,764.2,1.9,97,Wind blowing from the west,1,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,,,10.6,14.4,,,2500 or more  or no clouds.,,,3.9,10.9,25.0,12,,,,
02.04.2020 02:00,11.5,749.8,762.3,-2.8,95,Wind blowing from the east,4,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,14.4,,,2500 or more  or no clouds.,,,5.0,10.7,18.0,12,,,,
01.04.2020 23:00,11.9,752.6,765.1,1.5,94,Wind blowing from the south,0,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.6,14.4,,,2500 or more  or no clouds.,,,8.0,11.0,11.0,12,,,,
01.04.2020 20:00,13.1,751.1,763.6,0.4,83,Wind blowing from the north,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,14.4,,,2500 or more  or no clouds.,,,12.0,10.3,0.2,12,,,,
01.04.2020 17:00,14.2,750.7,763.3,-1.2,70,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,14.4,,,2500 or more  or no clouds.,,,16.0,8.8,No precipitation,12,,,,
01.04.2020 14:00,13.3,751.9,764.5,-1.8,71,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,13.5,,,2500 or more  or no clouds.,,,16.0,8.2,No precipitation,12,,,,
01.04.2020 11:00,12.8,753.7,766.3,0.0,72,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,12.8,,,2500 or more  or no clouds.,,,17.0,7.9,No precipitation,12,,,,
01.04.2020 08:00,11.2,753.7,766.3,1.5,85,Wind blowing from the north-east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,11.2,,,2500 or more  or no clouds.,,,14.0,8.8,No precipitation,12,,,,
01.04.2020 05:00,10.6,752.2,764.8,0.2,93,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,,,,10.7,,,2500 or more  or no clouds.,,,14.0,9.5,0.4,12,,,,
01.04.2020 02:00,10.6,752.0,764.6,-0.6,94,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.7,,,2500 or more  or no clouds.,,,11.0,9.7,2.0,12,,,,
31.03.2020 23:00,10.6,752.6,765.3,1.0,92,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,,,,10.7,,,2500 or more  or no clouds.,,,11.0,9.4,2.0,12,,,,
31.03.2020 20:00,10.3,751.6,764.3,1.5,93,Wind blowing from the east-northeast,2,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,10.7,,,2500 or more  or no clouds.,,,13.0,9.2,2.0,12,,,,
31.03.2020 17:00,10.3,750.1,762.7,0.3,95,Wind blowing from the north-northwest,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,10.7,,,1500-2000,,,7.0,9.5,2.0,12,,,,
31.03.2020 14:00,10.2,749.8,762.4,-1.2,94,Wind blowing from the north-northwest,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,10.7,,,2500 or more  or no clouds.,,,6.0,9.3,0.2,12,,,,
